	MM909_01_1	MM909_02_1	MM909_03_1	MM909_06_1	MM909_11_1	MM909_14_1	MM909_15_2	MM909_16_1	MM909_17_1	MM909_22_2	MM909_25_1	MM909_26_1	MM909_27_1	MM909_29_1	MM909_31_1	MM909_34_2	MM909_35_2	MM909_36_1	MM909_37_1	MM909_40_1	MM909_42_1	MM909_43_1	MM909_45_1	MM909_46_1	MM909_47_1
ABTB1	3.3609	3.06091	3.07516	2.90102	3.17238	2.9316	3.3249	2.31403	3.33507	4.0646	4.14914	2.7213	2.30784	3.07856	2.35479	3.2172	3.04145	3.97217	3.21186	3.1015	1.45885	3.30313	3.71408	2.83754	2.81222
ABTB2	0.74901	3.10215	2.55724	1.43591	1.98659	2.2629	1.74691	2.14265	0.68138	0.51911	2.50429	1.28171	3.03725	1.21434	1.40328	1.90507	1.91897	0.35005	1.79602	2.63266	3.29741	2.09094	1.22938	2.19723	1.23195
ACAA1	4.88617	4.15763	4.95574	4.79677	5.49683	4.51189	4.91339	4.02565	4.12601	4.84549	4.98912	4.86461	4.51243	4.68656	4.19496	5.7472	4.91126	5.04074	5.07456	4.84942	4.73514	5.09771	5.0352	5.07174	4.62398
ACAA2	4.85283	3.69479	5.37622	5.50564	5.07034	4.66037	5.16209	3.83646	5.69478	5.65446	4.73009	5.13402	5.58578	5.34107	5.73894	5.62974	3.91887	5.7635	5.04805	4.88227	6.11987	4.96631	5.23877	5.03936	6.21691
ACACA	2.21132	2.68831	2.67106	2.74086	2.92882	2.85799	2.17566	1.52245	2.73015	2.73871	3.2295	3.70818	3.3637	2.42011	2.90069	3.60019	2.23613	2.52161	3.03951	2.36205	3.2121	2.9316	3.58991	3.19611	2.27122
ACACB	1.54417	1.88043	1.09741	0.61171	1.49702	1.54417	0.81565	0.39555	0.14068	1.98078	1.43575	0.96993	2.68553	1.50918	2.45224	1.21434	2.05518	1.10828	0.81625	2.02689	1.60063	1.0651	3.72677	1.25025	0.87787
ACAD10	2.11482	1.92896	1.83125	2.01178	2.32875	2.58431	2.01776	2.55855	1.85341	2.16705	2.54205	2.30416	2.79979	2.20928	1.82826	3.03821	3.10727	2.06475	2.62713	2.64712	2.5196	2.82875	2.31338	2.64576	2.70958
ACAD11	2.54205	2.09784	2.26245	1.76143	2.14803	1.8205	2.2822	2.03185	3.04488	2.06776	1.47869	1.75181	1.85628	2.02492	1.89405	1.93643	2.10855	2.43208	1.6224	2.0445	1.99401	3.06829	2.18579	2.29156	3.76887
ACAD8	3.44098	3.2948	2.94418	3.38154	3.4288	2.9363	3.67274	3.31249	4.17937	3.13638	3.4619	3.01258	2.92665	3.25922	3.20984	3.1195	3.35	3.79168	2.95594	3.88884	3.17808	2.7659	3.07314	3.2614	3.80379
ACAD9	3.66655	3.85719	3.76804	3.61669	3.98455	3.75563	3.57103	3.77677	3.59311	3.91538	4.11741	3.62593	3.58516	3.18968	3.66232	4.68261	4.1637	4.23003	4.27551	4.14253	3.42707	4.30291	3.59055	3.89191	3.79871
ACADL	0.19236	0.58888	0	0.10084	0.07927	0	0	0	0	0.19396	0	0.05586	0.02883	0.01642	0.06778	0	0	0.03147	0.01471	0.01894	0	0.09252	0.88017	0.04885	0.02163
ACADM	5.27652	4.4242	3.08548	5.02387	5.28446	4.28209	5.17359	5.15401	5.432	3.84264	5.19325	4.94091	5.22088	4.88062	4.54904	5.32117	4.62105	4.57402	4.41654	4.27273	4.82289	4.18372	4.50297	4.69633	4.90464
ACADS	2.35349	1.95182	1.81699	3.2965	3.53104	3.77169	3.67194	2.16174	2.13554	3.07277	3.14942	2.6028	2.0084	1.68581	2.48209	4.27453	2.21866	2.99771	2.93604	3.05174	1.77246	2.27185	3.10998	2.62115	3.17201
ACADSB	1.9346	2.2102	2.38255	1.57422	1.9397	2.12273	2.95663	3.17733	2.6553	1.4144	1.50918	1.67553	1.57422	1.97667	2.05479	2.79904	1.91054	1.29983	1.64727	1.3249	2.35479	2.22685	1.7551	2.13523	2.16552
ACADVL	7.16759	4.85581	5.44208	5.62724	6.32232	6.46555	6.15773	6.09109	5.37865	6.62737	6.03561	5.73709	5.41234	5.83969	5.80246	5.64862	6.98572	6.41679	5.69068	5.8175	6.59575	6.51653	6.33966	6.88632	5.71991
ACAN	0.187	0.03838	0.22692	0.34806	0.14761	0.81188	0.28499	0.54464	0.03656	0.58202	0.02919	0.13724	0.2839	0.07001	0.1312	0.59162	0.54578	0.17984	0.52413	0.02226	0.26634	0.29693	0.35873	0.20887	0.40615
ACAP1	4.28913	2.69861	0.49308	1.05222	2.68831	2.72651	1.36987	0.40016	0.2957	3.07694	2.28469	2.86828	0.23425	4.68908	1.31871	1.78772	0.70886	3.23345	3.56142	2.24639	2.04528	0.7821	5.14661	1.73958	1.18801
ACAP2	3.40095	3.74581	3.24313	3.03504	4.35814	2.70353	3.72849	3.53593	3.66104	3.46838	2.95068	3.48704	3.62894	4.48743	3.08232	2.13946	3.8706	2.22462	3.05215	3.30804	3.19293	3.8586	3.26484	3.58684	3.54961
ACAP3	2.57766	1.17127	1.96574	1.95491	2.14015	3.14105	2.223	2.49345	1.85248	2.69792	3.08617	2.00764	1.54133	1.4402	2.02057	2.45295	1.9375	2.37444	2.25189	1.56212	1.30448	2.28695	2.05907	2.04946	1.3626
ACAT1	4.98812	5.69478	4.89485	4.95331	4.64736	4.24163	5.18043	5.39999	6.03967	4.63839	4.67134	4.2875	3.78219	4.69536	4.41839	5.54727	4.86904	5.07807	4.80358	4.94345	5.05885	4.56118	4.50018	5.59722	5.90182
ACAT2	3.02745	3.2965	2.25718	6.23882	4.09589	4.00662	3.37256	3.32853	4.05384	3.0228	3.95174	4.45884	3.5058	3.87333	2.66765	5.43108	3.85687	3.74125	4.08102	2.65287	3.92761	3.78369	3.85579	4.07858	3.43324
ACBD3	5.23252	4.93923	4.89885	4.39364	4.74867	3.88357	3.90697	5.12282	4.27165	4.35759	4.18408	4.58958	5.06406	4.40433	3.8693	3.32592	4.91168	3.52236	3.54683	3.95826	4.56033	5.34663	3.66434	3.93179	4.63014
ACBD4	2.86646	1.36793	1.98859	1.91827	1.47428	2.71852	2.59162	2.54476	2.31403	1.8985	2.35517	2.41446	1.48944	2.08001	1.55864	2.85162	1.59488	2.11804	1.80676	1.83455	1.5288	1.49702	1.94649	1.88186	1.63097
ACBD5	3.69547	2.87592	3.85977	3.30041	3.93135	3.85655	4.06035	3.64706	3.50185	3.16762	2.82324	3.13142	2.96025	3.44417	3.38299	3.49827	3.14441	2.83904	3.27316	2.50647	3.45874	2.72651	2.81916	3.26944	3.56632
ACBD6	4.50357	5.241	5.09846	5.43493	5.16762	5.30454	4.89485	5.28357	5.11338	4.44547	5.24229	4.49007	4.76942	4.16238	4.58646	4.53122	4.03278	4.96222	4.48696	5.13463	5.56462	4.62635	4.0679	3.9718	5.01256
ACBD7	0.32398	0.68045	0.27234	0.32764	0.86912	0	0.3086	0.39862	1.42434	0.06889	0.13956	0.25078	0.08603	0.36852	0.17611	0.21866	0.15198	0.71183	0.36454	0.19472	0.14363	0.25441	0.54157	0.33993	0.2556
ACCS	2.34122	1.3945	2.41779	2.0084	1.63244	2.01592	2.81277	2.48872	2.10536	3.01345	4.03865	1.74171	1.51567	1.96055	1.41318	3.24139	1.26428	2.87529	1.27304	1.83704	1.74292	0.72391	3.18879	1.74461	3.0893
ACCSL	0	0.69088	0.26335	0.08462	0	0.26677	1.07351	2.6606	0.06445	0	0.86815	0.7626	1.65827	0.00718	0.12779	2.44252	0	0	0	0.29236	0.23255	0.33548	0	0.43953	2.39702
ACD	2.47414	2.33567	2.01989	2.33704	2.13983	3.65743	2.84575	2.81723	2.46987	2.57462	2.90914	2.29362	2.66169	2.15014	2.00581	2.6015	2.39423	2.34188	3.05082	2.84055	2.0492	2.84409	2.53129	2.4337	1.10189
ACE	3.22043	1.18377	0.96158	1.59823	2.05831	2.36245	2.01282	1.1099	1.71099	3.61992	2.71444	2.13062	1.05963	1.76264	0.74846	0.55714	1.6809	1.96021	3.28618	2.34625	1.72936	1.96511	3.00917	2.53411	0.77433
ACE2	0.08644	0.0425	0.2049	0	0.06613	0	0.06765	0.0733	0.06489	0.00651	0.02599	0.01629	0	0.1636	0.07489	0.05803	0	0.02931	0.00884	0	0	0.04925	0.16092	0	0.03086
ACER1	0	0.05043	0	0	0	0	0	0	0	0	0	0.05596	0	0.09332	0.11309	0.15258	0	0.08773	0.04323	0	0.04575	0	0.14986	0	0.0538
ACER2	1.13948	0.41343	0.4422	0.43191	0.71516	0.3374	0.28186	0.79718	0.25736	0.67692	0.23994	0.448	0.86003	0.68348	0.34876	0.16031	1.03909	0.36037	0.51709	0.32239	0.68468	1.19546	0.87987	1.46713	1.14454
ACER3	2.32242	3.66693	2.06243	3.34055	3.69901	2.30016	2.66868	3.26425	3.16929	2.96113	2.75733	2.88523	2.68618	3.00629	3.20001	3.06065	3.48249	2.76185	2.51802	3.45369	2.36245	2.43978	2.3456	2.97802	3.08867
ACHE	0.57779	1.12067	0.59823	0.50318	0.2266	0.25217	0.65383	0.2834	0.08892	0.20307	0.21773	0.44035	0.39071	1.8091	0.40996	0.18601	1.74651	0.70041	1.2207	0.63597	0.46286	0.38523	2.50682	0.75082	0.05263
ACIN1	5.2893	4.31049	5.0571	3.5791	4.42938	5.82405	3.43845	4.6224	3.64395	5.19816	4.75327	5.15475	5.17677	5.17603	5.06355	3.82838	5.09846	5.0652	5.30127	4.76017	5.17202	5.10485	5.62896	4.69699	4.66084
ACKR2	0.11814	0.23591	0.23677	0.0804	0.07214	0.23753	0.12196	0.08415	0.13346	0.40446	0.0994	0.27369	0.20797	0.40581	0.20074	0.25495	0.04631	0.13145	0.31436	0.37138	0.07739	0.04077	0.65599	0.12481	0.19445
ACKR3	3.16611	1.51431	1.27637	4.2156	3.8113	2.32033	2.4664	1.16627	3.96362	5.16144	3.28167	2.34414	1.74461	3.07147	1.29951	0.71644	2.92566	3.38226	3.61334	2.36631	1.95558	2.04887	5.8704	2.12527	1.97845
ACKR4	0.80661	2.89727	0.86518	0.9344	0.40182	0.20868	0.29412	1.2969	0.31606	3.56118	1.21961	0.28128	0.40596	1.14785	0.2644	0.02274	3.27457	0.56338	1.17401	0.51979	0.38494	0.48855	1.51182	0.21551	0.2759
ACLY	4.72901	4.83339	5.35381	5.2781	4.81653	5.02522	4.86082	5.23087	5.01904	4.97749	5.66922	5.91767	5.66708	5.21844	5.11886	4.80125	5.70403	4.71607	5.24802	5.2554	5.56184	5.11265	6.26299	5.89556	4.45171
ACMSD	0	0	0	0	0	0	0	0	0.47772	0	0.07515	0.02944	0.07764	0	0	0	0	0	0	0.08489	0.02464	0	0	0.00781	0
ACO1	2.73533	2.28294	1.77463	3.19946	3.9571	3.59627	3.10397	3.53071	3.7416	4.10164	3.06121	3.79602	3.0672	3.13208	2.9524	3.44862	2.91313	3.24107	3.45797	3.24281	2.65259	3.03919	4.05996	3.57847	2.72953
ACO2	4.70891	4.19668	4.2862	3.73174	4.34726	4.81966	4.17438	5.45468	3.2814	4.06708	5.41912	5.06651	5.3929	4.11965	5.13546	4.28072	4.71392	3.94139	5.31129	4.29578	5.86258	5.05532	4.85581	5.70191	5.13736
ACOT1	1.08981	0.82158	2.56923	3.3002	2.07087	2.17289	2.952	2.80502	4.15031	1.76705	1.98829	1.12289	1.34784	1.44158	1.76756	3.23902	1.67081	3.32076	2.25625	1.94942	2.18883	1.23037	2.45976	1.71529	3.26402
ACOT11	0.19181	0.37508	0.22021	0.13429	1.36897	0.9061	0.0432	0.1532	0.61251	0.76023	0.70277	0.30488	1.21027	0.0842	0.16092	0.20583	0.19147	0.27188	0.28271	0.34876	2.10403	0.23994	0.20583	0.65762	0.12922
ACOT12	0	0.02626	0.45146	0	0	0	0.04409	0	0.02772	0	0	0	0	0	0.35532	1.4144	0	0	0	0.02541	0	0.03007	0	0	0.99095
ACOT13	2.88825	2.36597	3.30768	4.75032	2.57701	3.40751	4.36638	3.70509	4.56118	2.80043	3.3606	2.64893	2.31969	2.31769	2.11042	4.41286	3.77407	3.87648	2.75166	2.46795	3.11807	2.89575	2.31142	2.97657	4.46064
ACOT2	1.52787	1.38624	3.40951	3.59379	2.0518	2.86868	3.42671	3.13422	3.30082	2.71106	2.29026	2.02455	1.82826	1.56097	1.58343	3.12594	2.28829	2.81379	2.42938	2.22462	2.1599	2.57049	2.69598	2.25749	3.96102
ACOT4	0.95734	0.52878	1.2278	2.58806	1.73821	1.73325	0.43437	0.25356	0.89589	0.96749	1.47621	0.48244	1.27368	1.03439	0.74651	3.56365	0.40108	2.61756	1.86463	0.77543	1.4631	0.63775	1.19577	0.74603	3.42298
ACOT6	0	0.11065	0	0.0585	0.31317	0.52733	0.16092	0.12626	0.06353	0.13606	0	0.12358	0.08228	0.06618	0	0.78669	0.16079	0.02827	0.14164	0.16695	0	0.18925	0.09411	0.03151	0.34711
ACOT7	5.46485	4.83507	5.43865	5.35744	6.47829	6.34943	5.77198	6.91186	5.11594	3.73023	7.13682	6.43566	4.08633	3.84555	5.98038	5.9402	6.55339	4.02899	4.6985	5.63941	4.92876	6.02224	4.13026	6.09811	4.29439
ACOT8	3.69512	3.21046	3.605	4.72901	4.233	4.36004	4.3981	4.1603	4.8744	3.27012	4.44547	3.94512	3.92535	2.88143	4.63723	5.6087	3.80379	4.10803	3.78447	4.35559	3.60718	3.94911	3.31212	4.01223	3.17879
ACOT9	4.53374	4.67689	5.03994	4.97134	4.28534	4.12474	4.91698	4.83507	5.47154	4.93415	4.6224	4.69165	3.91262	4.5162	4.11611	5.32968	4.09751	5.3074	4.88399	4.2912	5.08878	4.59365	4.61745	4.07062	5.05466
ACOX1	3.13176	3.05348	3.10727	2.79979	2.78559	2.41419	2.87	2.96709	3.21046	2.85128	2.65029	2.7494	3.29714	2.55687	2.55556	3.24475	2.80469	2.40617	2.37187	2.50121	2.72263	2.68087	2.73192	2.59925	2.74499
ACOX2	2.18461	2.01562	1.45885	0.84103	3.03008	0.40596	0.52834	0.42611	0.5624	1.66989	0.29397	0.9212	0.06329	0.75418	0.20307	0.06769	0.79792	1.69576	0.96351	0.7307	0.38791	2.89275	1.65567	0.35021	2.18173
ACOX3	2.63537	1.44369	2.57668	1.90759	1.67694	2.74219	2.0576	2.78069	1.28646	2.255	2.47155	2.09753	2.84306	1.61603	1.78772	1.98374	1.68776	2.05678	2.27122	2.28397	1.86985	2.20427	2.13256	1.92248	2.3987
ACOXL	2.82605	0.28862	0	0.06623	0.08277	0.13476	0	0.05548	0	0.05412	0.14004	1.27057	0.24926	0.26183	0.04206	0.44237	0	0.0516	0.2427	0.04182	0	0.07465	0.10674	0.2327	0.02258
ACP1	6.02224	5.68674	6.50684	5.79931	5.38579	5.79065	6.21288	5.77443	6.95898	5.36042	6.06545	5.70985	5.68957	5.67219	4.92459	6.03427	5.16633	5.53302	5.34107	5.46925	4.91031	5.03869	5.07599	5.8909	6.1281
ACP2	5.08804	4.15993	4.3056	4.15836	4.79912	4.39224	3.95897	4.6444	3.88438	5.54979	5.29743	5.11594	3.14863	4.53122	4.64336	4.68908	3.69148	5.43108	5.49144	4.55335	4.28999	3.86526	4.57402	4.80078	4.13026
ACP5	6.6353	6.4919	4.88176	6.32687	6.03189	6.51302	5.44811	8.57504	5.22604	7.34409	8.28798	5.99064	6.95898	5.32536	4.61518	4.67495	7.87037	7.61771	7.71177	7.76436	7.18204	6.31414	5.53767	6.76983	6.88243
ACP6	2.12896	1.50554	2.81667	2.73034	5.06464	3.03242	4.03909	4.08798	2.69498	1.85121	2.91497	2.49487	2.4065	2.26393	1.95394	3.51344	2.6474	2.81277	2.73279	3.14441	3.07314	4.68204	1.91103	2.82564	3.79989
ACPP	0.26321	1.08836	0	0.44853	0.63059	0.49308	0.05309	0.17873	1.65096	0.90772	0.59215	0.39018	0.1675	1.68486	0.44035	0.48372	3.45	0.56423	1.22431	1.04013	0.68853	1.04926	0.34312	0.69871	0.16834
ACPT	0	0	0	0	0	0	0.22039	0	0	0.06076	0.06884	0	0.05698	0	0.00872	0	0	0	0.03345	0	0	0	0.01248	0	0
ACR	0.27069	0.11723	0.18905	0.11814	0	0.34194	0	0.13322	0	0.22797	0.06761	0.06572	0.44963	0.14837	0.52437	0.17807	0.1153	0.03018	0.09966	0.05934	0	0	0.08586	0.03377	0
ACRBP	0.6112	0.48303	0.36355	1.28892	1.18307	0.79274	0.82451	0.35518	0.33638	1.41356	1.08495	0.88902	0.23753	1.07758	0.83075	2.27122	0.74421	2.59754	1.91103	0.99313	1.31712	0.87688	1.66337	0.56466	1.09367
ACRC	0.69675	0.25736	0.97584	0.19634	0.4103	0.26403	0.49205	0.45747	0.31592	0.29968	0.1732	0.13904	0.22638	0.5653	0.99805	1.14165	0.25541	0.38136	0.35837	0.12502	0.52142	0.19445	0.43569	0.14752	0.52093
ACRV1	0	0.04856	0.7746	1.2536	0.37686	0	0.63538	0.58888	2.8506	0	0.22556	0.31219	0.25313	0	0.22865	0.0591	0	0.66366	0.08342	0	0.16459	0.30229	0.0267	0.21609	0.12529
ACSBG1	1.17841	3.26665	0.32357	0.19931	2.54161	2.47741	0	3.98811	0.04575	0.23044	3.59444	0.08575	0.26359	0.16922	0.26389	0.52747	1.63359	3.59444	0.26543	0.8116	3.62894	0.14215	0.13416	0.15348	0.15616
ACSBG2	0.23392	0	0.06112	0.04222	0	0.17905	0.2954	0.17223	1.34746	0.02787	0	0	0.08825	0.03145	0.06689	0.02132	0.02053	0.03132	0	0.14128	0.03643	0.04649	0.00291	0.00463	0.17572
ACSF2	3.80613	1.81736	3.69051	5.20967	2.97296	3.94556	3.18515	1.0742	4.3956	3.1625	3.96602	3.9673	3.48903	2.94962	3.54859	4.36178	3.06065	4.47007	2.77629	3.7191	2.35994	1.3162	3.4458	2.93498	2.38393
ACSF3	2.80285	1.67155	1.92328	2.04946	1.87335	3.20631	2.32941	2.9063	1.7207	2.32831	2.4664	2.37816	2.4489	2.10477	1.43649	2.25625	1.83265	1.86347	2.50505	2.23017	2.42422	2.27255	2.43305	2.37989	1.84796
ACSL1	4.34295	2.8868	3.31927	3.84076	4.70471	5.91061	5.47154	5.19668	5.31458	5.18997	5.56302	4.51482	4.93251	3.93283	4.8603	5.03173	5.64414	4.58811	5.54293	4.60262	4.30643	4.93251	6.42733	5.96742	3.24905
ACSL3	4.67624	5.20354	6.0371	5.1413	4.80025	5.81849	5.54072	5.71334	4.65042	4.08293	3.97146	6.76164	5.56774	3.95947	4.50928	4.51319	5.86931	3.00553	4.91076	4.39003	4.21484	6.74256	3.62927	6.62898	4.3977
ACSL4	4.72218	3.98911	3.98245	4.07547	5.0036	2.86409	4.82229	4.89565	5.51712	4.29721	4.27015	4.01929	3.91328	4.47455	3.50621	4.53281	4.30436	3.30114	3.8601	4.51189	4.46819	4.21404	4.1976	4.25054	3.77362
ACSL5	4.60998	3.81198	1.07044	2.50855	4.687	2.42634	1.32784	1.31323	1.89173	3.84124	2.84875	3.01117	1.07559	4.97342	2.2647	2.47595	2.00629	3.62626	3.76348	3.90312	3.63836	1.79003	4.687	2.36065	1.96994
ACSL6	1.1249	2.33467	0.12718	0.41581	0.48224	0.46948	0.30633	0.09477	0.12314	0.23639	0.6659	0.22985	0.52044	1.49446	1.36062	0.2689	0.2553	1.05449	0.36262	0.36831	0.28572	0.08389	1.06155	0.25001	0.12916
ACSM1	0.28572	0.06074	0	0	0.18866	0.16992	0	0	0.17896	0.05658	0	0.05177	0	0.15809	0.09221	0.03124	0	0.2203	0.05198	0.02963	0.0851	0.91366	0.42142	0.00676	0.02647
ACSM2A	0	0	0	0.03244	0	0	0.06027	0.04987	0	0.00867	0.09986	0	0	0	0	0.06052	0.02979	0	0.0094	0	0	0.03438	0.03556	0.01065	0
ACSM2B	0	0	0	0.06551	0	0	0	0	0	0.06546	0	0	0	0	0	0	0	0	0	0	0	0	0.00514	0	0
ACSM3	1.6344	0.66222	0.99565	0.29322	1.55287	0.10235	0.3146	1.28368	2.52132	0.59107	0.42024	0.9337	0.47671	0.92731	0.23518	0.79465	0.34407	0.89683	0.7366	1.29828	0.65149	1.96181	0.94952	0.481	0.37918
ACSM4	0	0	0	0	0	0	0	0	0.14199	0.0208	0.05177	0	0	0.00779	0.00493	0.06118	0	0	0	0	0	0.07001	0.04569	0.01095	0.03209
ACSM5	0.60637	0.19978	0.12792	0.8751	0.4765	0.6372	0.27265	0.24867	0.88523	0.99805	1.30407	0.22838	0.12417	0.68412	1.30337	0.91926	0.12337	1.65289	1.00564	1.56568	0.88142	0.31906	1.63665	0.66859	0.40141
ACSS1	5.05206	4.35511	3.64831	3.81242	3.74233	1.80473	3.59133	4.14422	2.74149	3.1466	4.56864	3.7746	6.31061	4.45081	2.84472	2.82875	4.34532	4.09457	3.82233	5.26802	4.45933	2.08604	4.09793	2.18711	1.73746
ACSS2	4.1376	5.01606	3.52106	3.51207	3.21111	3.6089	3.32819	3.48062	2.78193	3.29578	3.47844	3.756	4.19528	3.41374	3.06695	3.56237	4.1664	3.10913	3.70777	5.44208	4.17937	3.63766	4.70891	4.19398	3.38154
ACSS3	0.81096	0.36071	0.39926	0.77596	2.41036	0.42262	0.49951	0.31673	2.62523	1.54645	2.54134	0.63907	0.98729	1.63021	1.10492	0.18743	0.66977	2.41386	0.74575	2.87748	0.48013	0.53411	1.83164	0.48441	0.53627
ACTA1	0.10001	0.03584	0.17376	4.80455	0.21151	0.4168	0.15154	0.08515	0	0	0.386	0.07819	0.05084	0.03831	0.02993	0	0.06905	0.08134	0.06069	0.10603	0.03221	0.08159	0.12441	0.01569	0.11418
ACTA2	6.53681	5.40964	4.19844	6.65793	4.91698	7.36118	5.91275	5.4342	5.10174	9.19332	5.69478	5.82312	4.83189	7.84772	4.58541	3.38956	6.64704	7.89602	7.89602	7.26747	6.28549	5.78697	9.22613	6	6.31874
ACTB	10.97345	10.69007	10.70566	10.01686	10.8664	11.34805	9.77344	10.49322	9.71745	11.78261	11.53266	11.43925	10.95593	10.91507	10.8664	9.61598	11.6872	10.30524	11.39704	10.19826	10.89056	11.39704	11.43925	10.80831	9.35634
ACTBL2	0	0.01832	0.05621	0	0.12509	0	0.24467	0.04873	0.10474	0	0	0	0.20928	0.0129	0.01948	0.03656	0.06956	0	0	0.05303	0.03247	0.32617	0	0	0.01863
ACTC1	0	0.06722	0.05005	0.71984	0	0.15689	0	0.17049	0	1.11374	0	0.05922	0.03943	0.01611	0.0039	0.02792	0.01334	0	0.18798	0	0.00946	0.01755	0.51459	0.00783	0
ACTG1	9.55195	9.75006	10.58212	9.98379	8.98035	10.6178	9.55195	11.20977	9.67569	10.58212	10.24306	10.79178	11.05335	9.61598	10.67195	9.35634	10.34949	9.16584	10.27419	9.43584	10.01686	10.12656	10.21154	11.19201	9.56582
ACTG2	2.54068	1.06119	0.99474	4.0612	1.00884	3.01607	2.61066	3.64329	3.17649	4.7842	1.3503	1.78546	0.63481	1.68623	0.9974	0.53118	2.38766	3.47332	3.11843	0.99565	1.6221	1.20709	5.27652	1.99116	3.973
ACTL10	0.39535	0.21028	0.13153	0.33367	0.22284	0.4536	0	0	0.39139	0.34426	0.35566	0.41531	0.59445	0.23494	0.23392	0.59317	0.27188	0.22075	0.4406	0.30536	0.31088	0.97372	0.36704	0.42244	0.583
ACTL6A	4.17598	5.47154	5.32968	5.39918	5.70985	4.86972	5.8409	5.55999	6.1269	4.47007	5.29535	4.98244	5.13812	4.90897	4.40569	5.67815	5.84969	6.01216	5.63157	5.39531	4.71392	5.50211	4.32693	5.76782	6.08331
ACTL6B	0	0.03484	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71786	0	0	0	0	0	0	0	0	0
ACTL7A	0.09841	0	0	0	0	0	0	0	0	0	0	0	0	0.01181	0.02895	0	0.03435	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03735	0	0	0	0	0	0	0	0
ACTL8	0	0	0	0.26792	0.17504	0	1.61412	0.2253	5.12016	0	0	0	0	0.04732	0.03734	2.3495	0	0	0.36149	0.02775	0	0.62713	0	0.07203	0.63316
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	4.17438	4.16693	6.64304	4.97686	4.7313	7.19754	5.46328	6.20822	4.96296	6.90966	5.44498	6.76802	5.50276	5.09415	5.81655	3.56709	7.07195	4.75216	6.39312	5.3776	5.4707	6.03561	6.52791	5.80654	4.79528
ACTN2	0.10633	0.10322	0.39395	0.99911	0.13483	0.11026	0.57329	0.37942	0.02796	0.02672	0.04247	0.27965	0.37493	0.06454	0.10287	0	0.29049	1.26141	0.04429	0.06926	0.05437	0.07603	0.0762	0.11516	0.16234
ACTN3	0	0.05014	0	0.26196	0.1208	0	0	0	0	0	0	0	0	0.00292	0.05937	0.01779	0.01657	0	0.0585	0.0152	0	0.09783	0.03256	0.01438	0.01779
ACTN4	5.15636	5.35744	7.10459	4.94935	5.75229	7.28869	5.64322	6.58405	3.96776	6.25985	6.50232	6.17272	6.5258	5.52289	5.97939	4.87617	7.63456	5.29896	6.48825	6.21162	5.95637	7.14241	6.3864	6.15009	4.71056
ACTR10	4.23253	4.31377	5.34173	5.67896	4.6996	4.31672	5.74132	5.56535	6.45443	4.75903	4.13555	5.00768	4.20826	4.6224	5.00853	5.60066	4.05258	4.8703	4.81365	5.02522	5.2296	4.25482	4.11305	4.82229	5.80128
ACTR1A	5.35062	4.49544	5.28446	4.70125	4.72901	5.70628	4.60632	5.50796	4.26489	5.94236	4.96296	5.68295	4.28072	5.06587	5.39918	5.01843	4.7663	5.15764	5.5529	4.99151	5.25823	5.24394	5.33713	5.4342	4.91643
ACTR1B	4.07942	3.90312	3.49373	4.0311	4.76066	4.44772	4.52857	4.23621	4.02993	4.39003	4.38914	3.99939	3.44338	4.09985	4.22167	4.19528	4.07464	4.60538	4.38522	4.05563	3.22043	3.90934	4.60721	4.20517	4.29666
ACTR2	6.92212	6.56489	6.6899	5.64495	6.90527	6.09429	6.25625	6.94845	6.18126	6.9666	6.23379	6.64496	6.88046	7.60287	6.68284	4.69805	6.78903	5.70985	6.46366	6.20666	6.48685	6.30464	6.93016	6.91455	6.16905
ACTR3	5.7436	5.45039	5.73807	5.64414	5.76446	5.44047	5.92407	5.75345	6.46555	5.96742	5.59268	5.92524	5.08507	6.60389	6.21691	6.1269	5.6651	5.29287	5.61673	4.93493	5.09273	4.92109	5.86931	5.72074	5.15328
ACTR3B	0.04693	1.48033	0.94795	0.97298	0.0549	2.1704	0.96587	0.88115	0.42537	1.23848	1.17525	2.10477	1.77427	0.37564	1.04042	0.51166	2.03492	1.48585	1.81527	1.70359	1.25387	2.66303	0.50427	1.04573	2.28397
ACTR3C	1.14421	2.56719	2.36744	1.46157	2.61805	0.38656	1.7272	0.90673	0.77982	0.96587	1.8487	0.99911	1.95125	1.64243	0.72135	1.1119	1.66817	1.20918	0.78402	0.88494	1.33211	2.98035	1.02518	0.93729	1.77534
ACTR5	2.48003	1.63894	2.55657	2.57206	1.66138	2.3987	2.61972	2.32452	2.29432	1.88265	2.09061	2.57018	2.83931	2.15147	3.24038	3.2075	1.6595	2.59162	2.53096	2.62556	2.45257	2.57872	1.88876	2.3722	2.91845
ACTR6	3.65163	4.14878	3.63407	4.20634	5.37865	2.85128	4.42895	4.02449	5.12225	3.12236	3.54281	3.43596	3.56264	4.20076	6.44206	3.96102	3.57643	3.55411	3.19511	3.69794	3.69828	4.56463	3.00165	3.23257	4.16868
